caseNumber,caseLabel,profileIndex,velocityProfile,observedDepth_m,wavelength_m,initialPlanarVelocity_mps,nAdmissibleRoots,shallowOrSoleRoot_m,selectedDeepOrSoleRoot_m,allRoots_m
2,R2,13,linear,2.5845862484457,4.72591463444101,2.80820995267315,2,0.952611690290737,3.49755506342132,0.952611690290737;3.49755506342132
2,R2,14,linear,2.57916925076461,4.87040493454198,2.7539857719594,1,0.794942595309587,0.794942595309587,0.794942595309587
2,R2,15,linear,2.57375269133809,4.92114265247875,2.76453928347782,1,0.797839255510826,0.797839255510826,0.797839255510826
2,R2,16,linear,2.56351595070919,4.83843498274863,2.7848981780467,1,0.853147035234212,0.853147035234212,0.853147035234212
2,R2,17,linear,2.55184894275953,5.13532762476159,2.78578391533935,0,NaN,NaN,
2,R2,18,linear,2.48381187612449,5.2259621207823,2.98198387129453,2,1.14877481542548,2.9708778713045,1.14877481542548;2.9708778713045
2,R2,19,linear,2.4141059060621,5.44100964059523,3.06207518929021,2,1.28696603413113,2.63715637683446,1.28696603413113;2.63715637683446
2,R2,20,linear,2.34439993600063,5.12604817551772,2.89531474103552,1,0.961200093440198,0.961200093440198,0.961200093440198
2,R2,21,linear,2.22254296006759,5.61472409279057,2.82458515344706,0,NaN,NaN,
2,R2,1,power,1.73906589100716,NaN,1.36302514477365,0,NaN,NaN,
2,R2,2,power,1.84474388653234,NaN,1.61866121160539,0,NaN,NaN,
2,R2,3,power,1.99674382123703,4.70000000000007,2.00364383499143,0,NaN,NaN,
2,R2,4,power,1.98806661373055,4.35405393585043,2.20569495119565,0,NaN,NaN,
2,R2,5,power,1.93173307542384,4.3933443516478,2.41076305879864,0,NaN,NaN,
2,R2,6,power,1.87540009962686,4.12718990946617,2.43815554600267,0,NaN,NaN,
2,R2,7,power,2.23464159986179,4.33954807981736,2.58876940750003,0,NaN,NaN,
2,R2,8,power,2.42687544791443,4.76671622537419,2.53166524323586,0,NaN,NaN,
2,R2,9,power,2.40125043674834,4.82347636452844,2.80457210906826,2,0.879194959102118,3.55754820104333,0.879194959102118;3.55754820104333
2,R2,10,power,2.44779785550782,4.41126480641055,2.67771696082558,2,0.794005734612904,3.48068361669898,0.794005734612904;3.48068361669898
2,R2,11,power,2.49648227213038,4.93391121548319,2.96139807705444,0,NaN,NaN,
2,R2,12,power,2.54516681367022,4.42668452298999,2.84303891295669,0,NaN,NaN,
2,R2,13,power,2.5845862484457,4.72591463444101,2.80820995267315,2,0.957345204175469,2.39735139950816,0.957345204175469;2.39735139950816
2,R2,14,power,2.57916925076461,4.87040493454198,2.7539857719594,0,NaN,NaN,
2,R2,15,power,2.57375269133809,4.92114265247875,2.76453928347782,0,NaN,NaN,
2,R2,16,power,2.56351595070919,4.83843498274863,2.7848981780467,1,0.828482235315641,0.828482235315641,0.828482235315641
2,R2,17,power,2.55184894275953,5.13532762476159,2.78578391533935,0,NaN,NaN,
2,R2,18,power,2.48381187612449,5.2259621207823,2.98198387129453,2,1.21522971163787,2.01028953255519,1.21522971163787;2.01028953255519
2,R2,19,power,2.4141059060621,5.44100964059523,3.06207518929021,0,NaN,NaN,
2,R2,20,power,2.34439993600063,5.12604817551772,2.89531474103552,2,0.945064349549379,3.5784610759373,0.945064349549379;3.5784610759373
2,R2,21,power,2.22254296006759,5.61472409279057,2.82458515344706,0,NaN,NaN,
3,R3,1,uniform,1.75470855865478,NaN,0.240009577506006,0,NaN,NaN,
3,R3,2,uniform,1.70420858034595,NaN,1.73897174876996,0,NaN,NaN,
3,R3,3,uniform,1.713076781989,NaN,1.88204402537581,0,NaN,NaN,
3,R3,4,uniform,1.86507671669824,3.83049024693188,1.94355073755043,1,0.453613403801892,0.453613403801892,0.453613403801892
3,R3,5,uniform,1.95599812844193,3.5899693409227,1.89879898903027,1,0.436318130311873,0.436318130311873,0.436318130311873
3,R3,6,uniform,1.89966449379062,4.34122688919108,1.94573503080869,1,0.435779578942437,0.435779578942437,0.435779578942437
3,R3,7,uniform,1.84333151799365,4.40135822925919,2.00763849700636,1,0.470984271831008,0.470984271831008,0.470984271831008
3,R3,8,uniform,1.94497133611549,4.13085597779526,2.02253623692571,1,0.492084545855739,0.492084545855739,0.492084545855739
3,R3,9,uniform,2.3801260176715,3.81443527884881,2.14755903976089,1,0.62603387077597,0.62603387077597,0.62603387077597
3,R3,10,uniform,2.35450101139031,3.82995585613228,2.29420502559693,1,0.839091384774318,0.839091384774318,0.839091384774318
